Car,Income,Household.Size
3,31052,1.8
1,13281,0.8
3,21760,1.6
3,113391,0.8
2,7795,4.4
3,35229,1
1,15624,1
2,22069,1.8
3,20345,1.8
1,10701,1.6
1,13769,3.4
1,12693,1.6
2,10461,2.8
2,13475,2.8
1,43742,1
1,25538,1
2,6300,1
1,6733,2.6
1,11313,4.6
3,14808,1.8
1,19683,2
1,28768,1
2,14348,1.8
2,13223,2.5
1,8005,1
1,12725,1
2,52638,1.6
1,10138,1.8
2,26746,1
2,32575,1.6
1,12926,1
2,14067,2.8
1,11510,3
1,15744,1.6
3,20178,1.6
2,15707,2.4
2,21960,1.8
2,13705,3.1
2,17100,1.1
2,14334,1.6
1,24721,0.8
2,12946,2
1,11544,1.6
2,9982,3.1
2,24529,1.8
1,8540,1
3,17045,1.8
3,10349,4.1
2,11380,4.4
1,10087,3.6
4,7265,4.6
3,15785,2.8
2,18481,2.4
3,11958,1.6
2,13850,1.8
2,20234,0.8
2,13384,2.1
1,22274,0.8
2,30209,1.8
2,18127,1.8
1,19392,1.6
3,18991,1.8
2,10478,1.8
1,9370,1
3,13674,1.8
1,22781,0.8
1,11917,2.1
4,20422,3.4
1,22326,0.8
2,13747,2.7
2,36345,0.8
2,9187,4.4
3,13540,3.3
3,18927,2.7
3,19670,2.4
2,25977,1.8
4,15891,3.8
1,13443,0.8
1,16451,0.8
1,13154,3.4
1,46720,0.8
2,9488,4.2
1,10840,1.8
3,20967,2.6
2,15857,2.2
2,17358,2.5
2,12923,4.2
3,22009,1.6
1,18628,1.8
1,13309,1.6
1,10925,0.8
3,50603,1.8
1,4742,5.4
1,11032,1.6
4,21513,4.3
3,27355,0.8
4,14632,3.6
3,23553,2.1
1,10202,3.5
3,32463,1.6
2,13117,2.9
3,20975,1.6
1,12924,4
2,12810,4.2
3,13918,2.6
2,14576,3.4
2,10857,2.9
1,12733,3.2
1,15688,3.3
3,16181,2.4
1,35681,0.8
3,29188,0.8
2,9086,3.6
1,9745,1.8
3,42380,0.8
1,13955,2.3
2,15038,2.6
2,16098,2.9
2,11305,2.6
3,15276,2.4
1,8891,3.6
4,6544,3.6
1,13373,1.6
2,9251,2.8
1,30923,0.8
1,18594,0.8
4,15052,4.6
1,12393,1.6
3,16576,2
2,14212,2
1,12875,0.8
1,24668,0.8
2,10128,2.8
1,19960,2.6
2,9054,4.8
1,9654,1.6
2,15798,1
2,8205,3.6
1,16920,1
2,9498,2.8
2,7619,3.6
1,33786,2.1
3,22069,1.8
1,31026,0.8
1,17156,1.8
1,11092,1.8
1,12211,1.8
3,19687,3.3
2,12584,2.9
1,13916,1.8
2,16302,1.8
1,10675,0.8
2,11994,1.6
3,9043,2.6
4,38646,1.8
1,9540,1
3,31538,1
2,12951,1.8
1,15958,0.8
2,18442,1.8
1,8216,2.3
3,42505,0.8
2,7432,3.5
3,22705,3.4
2,10741,1
1,9461,1.8
1,6644,4.6
1,19134,0.8
1,18051,0.8
3,16690,2.6
1,13824,3.4
2,29130,1.8
3,12001,2.8
1,6890,1.8
1,32443,1.8
1,10633,2
3,51197,1.6
1,13113,0.8
1,14441,0.8
3,38781,0.8
2,30193,1.8
3,48948,0.8
3,19594,2.1
1,24093,1.6
2,27330,1.8
1,21850,0.8
1,23442,1.8
2,27249,1.8
1,14591,1.8
3,15033,2.3
1,23441,1.6
2,24570,0.8
1,15814,1.6
3,16361,1.8
2,6136,3.8
3,12605,2.8
1,10941,1.6
3,12081,1.6
3,10368,2.6
1,16461,1.8
1,18474,1.6
2,18361,1.8
2,12250,1.6
2,7406,4.2
3,34082,1.8
1,16885,0.8
1,17714,2.8
3,24789,1.8
2,18794,2.6
2,15859,1.8
3,8353,4.6
3,31123,1.6
3,12249,4.5
3,14609,2.1
2,30491,1.8
3,13217,2.2
3,20593,0.8
2,22798,1.8
2,15095,1.8
2,10853,2
2,16434,1.8
3,15112,3.2
1,16142,1.8
1,22683,3.8
1,13830,2
1,36609,1.2
1,15746,0.8
2,12156,2.5
2,36016,0.8
3,24464,2
1,10941,1.6
2,14904,1.8
2,39554,1.8
3,24779,1.8
1,11586,1.6
1,18810,0.8
1,6928,2.5
4,18793,2.8
1,19783,1.8
1,12663,2.5
1,28613,1.8
1,10986,1.6
3,29082,1.8
1,8469,3.2
1,32753,1.8
4,12474,3.8
2,20781,1.8
2,34489,1.8
2,31218,1.8
1,21511,0.8
3,16007,1.6
1,15767,1.6
3,14887,2.3
1,12851,1.6
4,13891,4.2
1,11590,2.3
1,14303,2.6
1,11812,2.8
4,36315,1.6
2,8240,2.3
4,15730,2.6
3,20720,2.6
2,14224,1.8
1,13947,1.6
1,14523,1.6
2,14730,1.8
3,22041,0.8
2,15403,1.8
1,12683,2.6
2,49360,2.6
2,17185,1.6
2,14084,2.4
1,22059,0.8
1,19818,2.6
2,14831,1.8
1,8052,3.4
4,36293,1.8
2,22524,1
2,13676,2.9
1,31808,1
1,14105,1.1
2,22041,1.6
2,13480,2.6
1,8406,3.8
2,10677,5
1,11134,1.6
1,10465,2.8
2,10665,3.2
1,14444,1.8
1,25614,0.8
4,6856,2.8
1,12895,2.5
1,11726,1
1,28604,0.8
1,15998,1.8
1,37493,0.8
2,14921,2.5
2,22601,1.8
1,30483,0.8
1,24390,1.6
1,18688,1.6
1,24423,0.8
3,8322,2.9
1,14896,0.8
1,13143,1.8
2,19156,1.6
1,20948,0.8
1,7776,1.6
2,17779,1.6
1,9018,2.1
1,25066,1.6
3,14678,2.9
2,11940,2.3
1,14854,1.6
1,15136,1.4
1,11249,1.7
3,17608,2.6
3,17594,3.6
2,20025,1.8
3,27800,1.8
1,16495,0.8
1,9278,1.9
1,8318,1.8
1,9948,2.7
2,6857,3.3
2,10706,3.3
2,25223,1.8
2,26093,1
3,11913,2.8
1,8633,2.2
1,6405,2.4
1,24031,0.8
4,19965,3.6
3,16362,1.8
1,18714,0.8
2,15590,1.8
3,12613,1.6
3,11918,3.3
1,12984,1.6
1,14681,1.6
1,11675,1.6
2,20050,1.8
1,28151,0.8
3,14718,2.6
1,15551,0.8
1,12704,1.8
1,6176,4.7
1,15551,0.8
1,6900,1.8
2,30363,1
3,14093,1.6
1,18711,2.8
3,13059,2.8
3,27323,0.8
1,10941,2.3
1,11198,1.8
1,70470,0.8
3,20806,1.8
1,32798,0.8
3,70811,0.8
2,19985,3.4
4,12247,2.8
3,9621,4.8
1,10916,1.8
3,12686,2.9
1,11016,1
1,10040,1
2,11515,1.6
1,18361,0.8
2,10415,1.8
1,31647,1.8
2,11054,2.4
3,27873,1.6
4,22470,2.7
3,52798,1.6
2,11739,2.7
3,25531,1.8
1,17366,0.8
1,10631,2.8
3,32504,1
1,8039,1.6
3,16059,1.6
1,17709,1.8
2,10652,4.5
2,12836,2.1
1,22911,0.8
1,10005,2.6
2,26226,1
1,30385,0.8
1,31618,0.8
1,18039,0.8
1,17530,0.8
2,16973,2.4
3,23870,2.4
1,23371,2.8
1,11193,1.8
3,13868,1.6
2,29947,1.8
1,24934,0.8
1,28280,0.8
4,19427,3.3
1,33515,0.8
3,32138,1.8
1,14968,0.8
1,9760,2.7
2,10048,2
2,18942,2
1,27046,0.8
1,9713,2.6
1,24005,0.8
3,11741,1.6
1,19888,0.8
3,27769,1.8
3,27712,1.8
4,18472,3.6
2,32155,1
3,11328,2.8
3,31468,1.6
1,26704,1
3,30739,0.8
2,16539,2
3,10450,2.8
1,14729,2
